start_x,start_y,goal_x,goal_y,path_length
1.9504,1.0179,-0.3088,1.2124,2.3775
0.5649,-0.1728,0.4875,1.2302,1.4052
0.5649,-0.1728,0.5338,0.318,0.4918
0.5338,0.318,0.4875,1.2302,0.9134
0.5649,-0.1728,0.5146,0.7651,0.9393
0.5146,0.7651,0.4875,1.2302,0.4658
0.5649,-0.1728,0.4875,1.2302,1.4052
-0.588,0.7881,1.4802,-0.0031,2.2154
-0.588,0.7881,-0.1884,0.6585,0.4201
-0.1884,0.6585,1.4802,-0.0031,1.7953
-0.588,0.7881,0.0928,0.5532,0.7204
0.0928,0.5532,1.4802,-0.0031,1.495
-0.588,0.7881,0.438,0.4046,1.0961
0.438,0.4046,1.4802,-0.0031,1.1193
-0.588,0.7881,0.5904,0.3501,1.258
0.5904,0.3501,1.4802,-0.0031,0.9574
-0.588,0.7881,1.0365,0.1791,1.7358
1.0365,0.1791,1.4802,-0.0031,0.4796
-0.588,0.7881,1.4802,-0.0031,2.2154
1.1067,1.4655,-0.2044,-0.4821,2.7549
1.1067,1.4655,0.9243,1.4321,0.1855
0.9243,1.4321,-0.2044,-0.4821,2.5694
1.1067,1.4655,0.6948,1.3914,0.4185
0.6948,1.3914,-0.2044,-0.4821,2.3364
1.1067,1.4655,0.6247,1.355,0.4975
0.6247,1.355,-0.2044,-0.4821,2.2574
1.1067,1.4655,0.4377,1.1276,0.7918
0.4377,1.1276,-0.2044,-0.4821,1.963
1.1067,1.4655,0.1547,0.8363,1.198
0.1547,0.8363,-0.2044,-0.4821,1.5569
1.1067,1.4655,0.0497,0.7185,1.3558
0.0497,0.7185,-0.2044,-0.4821,1.3991
1.1067,1.4655,-0.1618,0.5055,1.656
-0.1618,0.5055,-0.2044,-0.4821,1.0989
1.1067,1.4655,-0.3491,0.2694,1.9573
-0.3491,0.2694,-0.2044,-0.4821,0.7975
1.1067,1.4655,-0.3544,0.1617,2.0652
-0.3544,0.1617,-0.2044,-0.4821,0.6897
1.1067,1.4655,-0.3493,-0.1101,2.337
-0.3493,-0.1101,-0.2044,-0.4821,0.4179
1.1067,1.4655,-0.3529,-0.2315,2.4584
-0.3529,-0.2315,-0.2044,-0.4821,0.2964
1.1067,1.4655,-0.2522,-0.4446,2.6942
-0.2522,-0.4446,-0.2044,-0.4821,0.0607
1.1067,1.4655,-0.2044,-0.4821,2.7549
-0.6936,0.2754,1.8519,1.7989,3.0135
-0.6936,0.2754,-0.4703,0.4567,0.2876
-0.4703,0.4567,1.8519,1.7989,2.7259
-0.6936,0.2754,-0.1207,0.7423,0.739
-0.1207,0.7423,1.8519,1.7989,2.2745
-0.6936,0.2754,0.0048,0.8425,0.8996
0.0048,0.8425,1.8519,1.7989,2.1139
-0.6936,0.2754,0.2457,1.052,1.2189
0.2457,1.052,1.8519,1.7989,1.7946
-0.6936,0.2754,0.4263,1.218,1.4641
0.4263,1.218,1.8519,1.7989,1.5494
-0.6936,0.2754,0.6116,1.3592,1.6971
0.6116,1.3592,1.8519,1.7989,1.3164
-0.6936,0.2754,0.8752,1.4639,1.9808
0.8752,1.4639,1.8519,1.7989,1.0328
-0.6936,0.2754,1.1012,1.5433,2.2203
1.1012,1.5433,1.8519,1.7989,0.7932
-0.6936,0.2754,1.3951,1.636,2.5285
1.3951,1.636,1.8519,1.7989,0.485
-0.6936,0.2754,1.7085,1.7454,2.8604
1.7085,1.7454,1.8519,1.7989,0.1531
-0.6936,0.2754,1.8519,1.7989,3.0135
0.7325,-0.785,-0.6184,-0.9627,1.3634
0.7325,-0.785,0.6231,-0.7996,0.1104
0.6231,-0.7996,-0.6184,-0.9627,1.253
0.7325,-0.785,0.2178,-0.8743,0.5226
0.2178,-0.8743,-0.6184,-0.9627,0.8408
0.7325,-0.785,-0.18,-0.9135,0.9222
